,benchmark name,total_inputs,total_outputs,is_completed,automaton build duration (ms),is_automaton_built,find dependencies duration (ms),total_dependent_vars,dependency_ratio
41,TwoCountersInRange,11,8,True,1773.0,True,4.0,3,0.375
42,TwoCounters3,11,8,True,22021.0,True,13.0,3,0.375
43,TwoCountersInRangeM0,11,8,True,5728.0,True,7.0,3,0.375
44,EscalatorCounting,3,6,True,25.0,True,1.0,5,0.8333333333333334
45,ltl2dba09,3,1,True,13.0,True,0.0,0,0.0
46,lilydemo09,1,1,True,19.0,True,0.0,0,0.0
47,ltl2dba25,3,1,True,13.0,True,0.0,0,0.0
48,OneCounterGuiA8,9,9,True,12621.0,True,11.0,3,0.3333333333333333
49,MusicAppMotivating,5,3,True,37.0,True,4.0,1,0.3333333333333333
50,TwoCountersInRangeA3,11,8,True,8636.0,True,7.0,3,0.375
51,ltl2dpa21,2,3,True,47.0,True,2.0,1,0.3333333333333333
52,ModdifiedLedMatrix4X,3,25,True,1359737.0,True,482.0,10,0.4
53,TorcsAccelerating,2,6,True,10.0,True,1.0,2,0.3333333333333333
54,OneCounterGuiA3,9,9,True,1594.0,True,11.0,3,0.3333333333333333
55,KitchenTimerV1,2,6,True,25.0,True,3.0,2,0.3333333333333333
56,OneCounterGui,9,9,True,94.0,True,5.0,3,0.3333333333333333
57,lilydemo02,3,1,True,15.0,True,0.0,0,0.0
58,KitchenTimerV10,4,11,True,14611.0,True,15110.0,6,0.5454545454545454
59,ltl2dba02,3,1,True,24.0,True,2.0,0,0.0
60,ltl2dpa10,2,3,True,52.0,True,2.0,1,0.3333333333333333
61,TwoCountersDisButA4,12,13,True,2117742.0,True,72.0,4,0.3076923076923077
62,ltl2dba14,3,1,True,13.0,True,0.0,0,0.0
63,ltl2dpa06,3,2,True,13.0,True,1.0,1,0.5
64,SensorSubmodulChooser,4,15,True,1993.0,True,57.0,3,0.2
65,lilydemo14,2,2,True,32.0,True,1.0,0,0.0
66,TwoCountersInRangeA4,11,8,True,5291.0,True,5.0,3,0.375
67,Automata16S,2,21,False,,False,,0,0.0
68,lilydemo22,3,1,True,28.0,True,1.0,0,0.0
69,ltl2dba22,1,1,True,13.0,True,0.0,0,0.0
70,Automata32S,2,37,False,,False,,0,0.0
71,ltl2dba18,3,1,True,22.0,True,1.0,0,0.0
72,TwoCountersDisButAC,15,13,False,,False,,0,0.0
73,TwoCounters4,11,8,True,12149.0,True,8.0,3,0.375
74,TwoCountersDisButA8,14,13,False,,False,,0,0.0
75,RegManager,2,8,True,10.0,True,2.0,8,1.0
76,RotationCalculator,6,8,True,50.0,True,2.0,3,0.375
77,TorcsSimple,3,8,True,29.0,True,2.0,3,0.375
78,lilydemo18,3,4,True,414.0,True,1.0,0,0.0
79,lilydemo19,2,2,True,16.0,True,1.0,0,0.0
80,TwoCounters5,19,13,False,,False,,0,0.0
81,Automata,2,13,True,868.0,True,23.0,2,0.15384615384615385
82,TwoCountersDisButA9,14,13,False,,False,,0,0.0
